node,x,y,hrsexceeded
65,1173183.36232081,248397.88368436,388
66,1170715.79813691,247025.060931969,443
67,1168461.11240536,245600.821160658,516
68,1166165.97921112,243952.321946727,572
69,1163972.72901098,242170.609496529,717
70,1161889.17307132,240261.913670946,631
71,1159922.76127213,238232.972071113,694
72,1158080.46946608,236090.786242969,666
73,1156368.90271044,233842.913714806,351
74,1154794.19069708,231497.26227857,315
75,1153361.99694409,229062.117157301,501
76,1152077.48073844,226546.031472115,461
77,1150945.2432461,223957.813047585,253
78,1149969.34839811,221306.77492137,110
79,1149153.76590142,218604.742220967,91
80,1148503.13065848,215863.245097111,61
81,1148004.9807811,212919.667629535,152
82,1147712.83890034,210273.374962832,179
83,1147571.45925516,207452.144346613,337
84,1147598.7490397,204627.553392084,648
85,1147794.67883329,201809.514768049,1122
86,1148158.47473004,199008.176599995,632
87,1148688.79816536,196233.527677258,1005
88,1149383.75272917,193495.40223349,1177
89,1150240.83384597,190803.496827096,854
90,1151256.89394545,188167.386773004,989
91,1152503.60131169,185455.28556841,1073
92,1153750.63058864,183099.777912016,1186
93,1155310.8779706,180555.069954687,960
94,1156829.17512916,178363.983111322,1362
95,1158573.20922966,176142.538588699,868
96,1160442.73956844,174032.929191124,122
97,1162562.71979855,171932.264102306,0
98,1164560.24653168,170170.028378481,0
99,1166918.13783106,168339.674749462,0
100,1169112.61635017,166824.246858817,0
101,1171504.85093676,165370.729946155,0
102,1173948.11278666,164091.231973333,0
103,1176670.15224371,162948.599483056,0
104,1177583,161013,0
105,1179064.66,161414.163,0
106,1206019.16,251031.828,71
107,1203755.52,250432.906,0
108,1201289,250843.74,0
109,1198766.79,251137.373,0
110,1196187.43,251312.457,0
111,1193528.95,251260.257,0
112,1190828.23,251067.506,0
113,1188111.7,250715.24,1
114,1185396.32,250199.615,2
115,1182700.79,249525.518,4
116,1180033.85,248673.827,0
117,1177414.62,247659.816,30
118,1174896.14,246462.944,207
119,1172472.3,245537.72,388
120,1170463.3,243916.917,406
121,1168145.14,242334.91,471
122,1165925.17,240572.707,498
123,1163815.95,238669.264,441
124,1161828.54,236634.434,428
125,1159972.06,234478.199,387
126,1158252.94,232204.455,382
127,1156658.65,229872.112,456
128,1155217.87,227357.209,363
129,1154015.99,224800.299,313
130,1152921.75,222173.91,286
131,1152000.86,219482.167,190
132,1151252.99,216739.376,115
133,1150683.75,213956.765,138
134,1150295.65,211146.295,260
135,1150088.41,208310.785,350
136,1150070.48,205446.441,638
137,1150062.69,202323.804,837
138,1150638.16,199261.807,554
139,1151177.13,196455.089,1055
140,1151887.96,193732.369,951
141,1152762.73,191072.209,1086
142,1153796.78,188480.429,1118
143,1154983.73,185961.354,1145
144,1156302.56,183516.055,1084
145,1157765.69,181194.873,1173
146,1159396.31,178980.972,1187
147,1161122.92,176867.512,460
148,1162960.36,174874.944,49
149,1164899.49,173011.351,21
150,1166921.59,171282.093,18
151,1169007.68,169687.886,0
152,1171132.31,168291.666,0
153,1173255.01,166986.755,0
154,1175062.99,166366.7,0
155,1176309.51,165174.992,0
156,1177973.39,163852.698,0
157,1179514.11,163276.906,0
158,1205601.57,249096.357,18
159,1203630.96,248089.949,29
160,1201655.86,248592.434,0
161,1199293.76,248722.89,0
162,1196817.94,248955.971,0
163,1194352.56,248911.361,2
164,1191804.1,248757.95,9
165,1189219.88,248439.923,60
166,1186623.24,247972.013,60
167,1184028.04,247344.048,64
168,1181478.27,246600.987,106
169,1178892.09,245639.192,179
170,1176402.86,244456.22,126
171,1173664.38,243209.978,0
172,1171182.21,241436.39,275
173,1168916.59,239791.017,295
174,1166790.39,238017.561,338
175,1164784.23,236111.838,337
176,1162903.97,234078.927,344
177,1161159.8,231929.741,326
178,1159591.56,229681.136,353
179,1157968,227674.711,435
180,1157082.56,225340.574,438
181,1155898.73,222861.42,413
182,1154897.86,220282.697,384
183,1154067.41,217643.392,360
184,1153413.4,214957.983,239
185,1152939.08,212239.34,284
186,1152645.41,209500.384,319
187,1152529.03,206751.57,411
188,1152571.19,204002.64,426
189,1152807.64,201295.889,408
190,1153251.04,198597.288,465
191,1153830.13,195946.635,772
192,1154573.48,193349.116,837
193,1155474.4,190815.451,1005
194,1156526.14,188355.982,919
195,1157715.34,185971.231,283
196,1159043.84,183692.349,979
197,1160496.93,181516.091,1085
198,1162075.91,179443.677,584
199,1163751.85,177485.827,112
200,1165518.81,175650.255,33
201,1167367.3,173942.902,11
202,1169268.76,172355.778,0
203,1171215.16,170923.411,0
204,1173251.68,169596.144,0
205,1175132.96,168527.867,0
206,1176747,167462.966,0
207,1178131.66,166009.758,0
208,1179752.46,165179.67,0
209,1205211.05,247155.245,51
210,1203267.64,245978.876,50
211,1201797.52,246715.264,20
212,1199707.96,246482.049,1
213,1197501.94,247047.24,0
214,1195095.93,246592.874,0
215,1192538.97,246549.708,26
216,1190070.57,246242.327,73
217,1187592.18,245795.048,71
218,1185116.24,245199.774,73
